gene,log2FoldChange
SMU_194c,-3.182972072
SMU_1950,-3.063948219
SMU_1951c,-2.807539836
SMU_1954,0
SMU_1955,-3.198779864
SMU_1956c,-6.009531762
SMU_1957,-8.735462004
SMU_1958c,-10.3296095
SMU_195c,-2.043589269
SMU_1960c,-7.402775225
SMU_1961c,-8.239598529
SMU_1963c,-7.562401443
SMU_1964c,-7.362717406
SMU_1965c,3.57142051
SMU_1966c,0.312218019
SMU_1967,0.139789283
SMU_1968c,-1.083715736
SMU_1969c,-1.513727596
SMU_196c,-2.311285382
SMU_1970c,-1.699898268
SMU_1971c,-2.686084425
SMU_1972c,-3.418906731
SMU_1973,0.051925053
SMU_1974,-1.173192715
SMU_1975c,-0.296632633
SMU_1976c,-0.259968103
SMU_1977c,-3.375638682
SMU_1978,-5.882643049
SMU_1979c,-3.536273008
SMU_197c,-1.773377825
SMU_1980c,-2.64201719
SMU_1981c,-4.153328491
SMU_1982c,-3.097221808
SMU_1983,-3.247557069
SMU_1984,-2.891147859
SMU_1985,-3.035896657
SMU_1987,-3.820422901
